for 'dWlhclDHdFvDCCDfFq': len/2 = 9; dupchar=D; priosum now 30.
for 'mGdZBZBwRGjZMFgvTvgtvv': len/2 = 11; dupchar=Z; priosum now 82.
for 'jwwJrzdzGdSbGGnNlzWczHzPHPhn': len/2 = 14; dupchar=z; priosum now 108.
for 'cczcbMBszhzzDBTBPPPGjtvtlt': len/2 = 13; dupchar=B; priosum now 136.
for 'LqJLfpwdLnvQLRGQjGtj': len/2 = 10; dupchar=L; priosum now 174.
for 'gSgnSJJCGSGpGSrwgfhchmmmHzcrHDmbrmMm': len/2 = 18; dupchar=r; priosum now 192.
for 'bVjstCsSstCLCrbSLnMpdMndcLddcqcpHR': len/2 = 17; dupchar=L; priosum now 230.
for 'wPZJQJwtBfJZmgBwPTcpTdcnfHMppcGMdG': len/2 = 17; dupchar=f; priosum now 236.
for 'gmFJzwPJJtszvNhCNC': len/2 = 9; dupchar=z; priosum now 262.
for 'DmjZDMZWDqGRqqRpHmmRLTTNTPTfCQJQQLJHTClc': len/2 = 20; dupchar=H; priosum now 296.
for 'FtzfvrfFwVgtzztgBLJNcNlTcTVNNQLN': len/2 = 16; dupchar=V; priosum now 344.
for 'vgsdbzzrwtqWfWRpZDdZ': len/2 = 10; dupchar=d; priosum now 348.
for 'rJhqRhLHhdcQqdHqfQGfPGstgGPlWttM': len/2 = 16; dupchar=Q; priosum now 391.
for 'DzCpDDmnNCmBZBZnVBmZzBGPfsbglfNPwgPGPMWsWWft': len/2 = 22; dupchar=N; priosum now 431.
for 'BZFnlmpBpBzDzVZmhFHFrrrchhRqTdrc': len/2 = 16; dupchar=F; priosum now 463.
for 'DWCCWFNqdGFdPVcb': len/2 = 8; dupchar=F; priosum now 495.
for 'HllttQsTRlJlsblrHlhdmPLVcVcTccndLvPLmL': len/2 = 19; dupchar=T; priosum now 541.
for 'HSlstHgJltghhRrzNBNDzSwMjNZwNb': len/2 = 15; dupchar=S; priosum now 586.
